package_name,used_version,serverity,downloadCount
moment.js:moment,2.21.0,high,7271
axios:No_npm_name,0.18.1,high,7193
underscore.js:underscore,1.8.3,high,7188
underscore.js:underscore,1.4.4,high,7090
handlebars:No_npm_name,4.0.11,high,7040
handlebars:No_npm_name,4.0.11,high,7040
handlebars:No_npm_name,4.0.11,high,7040
handlebars:No_npm_name,4.0.11,high,7040
handlebars:No_npm_name,4.0.11,high,7040
moment.js:moment,2.23.0,high,7032
moment.js:moment,2.23.0,high,7032
axios:No_npm_name,0.18.0,high,7028
axios:No_npm_name,0.18.0,high,7028
axios:No_npm_name,0.19.2,high,6988
underscore.js:underscore,1.9.1,high,6920
moment.js:moment,2.23.0,high,6833
moment.js:moment,2.23.0,high,6833
underscore.js:underscore,1.9.2,high,6817
underscore.js:underscore,1.8.3,high,6790
moment.js:moment,2.29.1,high,6651
moment.js:moment,2.29.1,high,6651
moment.js:moment,2.29.1,high,6650
moment.js:moment,2.29.1,high,6650
handlebars:No_npm_name,4.7.6,high,6636
handlebars:No_npm_name,4.7.6,high,6636
chart.js:No_npm_name,2.9.2,high,6594
underscore.js:underscore,1.9.1,high,6592
underscore.js:underscore,1.9.1,high,6464
underscore.js:underscore,1.10.2,high,6422
moment.js:moment,2.29.1,high,6341
moment.js:moment,2.29.1,high,6341
moment.js:moment,2.29.1,high,6295
moment.js:moment,2.29.1,high,6295
moment.js:moment,2.24.0,high,6200
moment.js:moment,2.24.0,high,6200
underscore.js:underscore,1.6.0,high,6199
underscore.js:underscore,1.8.3,high,6178
underscore.js:underscore,1.8.3,high,6154
moment.js:moment,2.24.0,high,6131
moment.js:moment,2.24.0,high,6131
underscore.js:underscore,1.9.1,high,6082
underscore.js:underscore,1.9.1,high,6076
underscore.js:underscore,1.12.0,high,6066
axios:No_npm_name,0.21.1,high,6046
moment.js:moment,2.24.0,high,6024
moment.js:moment,2.24.0,high,6024
moment.js:moment,2.27.0,high,5977
moment.js:moment,2.27.0,high,5977
handlebars:No_npm_name,4.4.5,high,5968
handlebars:No_npm_name,4.4.5,high,5968
handlebars:No_npm_name,4.4.5,high,5968
handlebars:No_npm_name,4.0.12,high,5947
handlebars:No_npm_name,4.0.12,high,5947
handlebars:No_npm_name,4.0.12,high,5947
handlebars:No_npm_name,4.0.12,high,5947
handlebars:No_npm_name,4.0.12,high,5947
underscore.js:underscore,1.8.3,high,5934
axios:No_npm_name,0.21.1,high,5890
moment.js:moment,2.29.1,high,5873
moment.js:moment,2.29.1,high,5873
axios:No_npm_name,0.19.2,high,5812
axios:No_npm_name,0.21.0,high,5800
underscore.js:underscore,1.8.3,high,5738
axios:No_npm_name,0.18.0,high,5714
axios:No_npm_name,0.18.0,high,5714
axios:No_npm_name,0.19.0,high,5707
axios:No_npm_name,0.19.2,high,5657
underscore.js:underscore,1.6.0,high,5643
handlebars:No_npm_name,4.0.12,high,5626
handlebars:No_npm_name,4.0.12,high,5626
handlebars:No_npm_name,4.0.12,high,5626
handlebars:No_npm_name,4.0.12,high,5626
handlebars:No_npm_name,4.0.12,high,5626
axios:No_npm_name,0.21.1,high,5608
underscore.js:underscore,1.9.1,high,5556
underscore.js:underscore,1.8.3,high,5545
jszip:No_npm_name,3.1.3,high,5542
underscore.js:underscore,1.10.2,high,5501
axios:No_npm_name,0.18.0,high,5461
axios:No_npm_name,0.18.0,high,5461
handlebars:No_npm_name,4.0.12,high,5388
handlebars:No_npm_name,4.0.12,high,5388
handlebars:No_npm_name,4.0.12,high,5388
handlebars:No_npm_name,4.0.12,high,5388
handlebars:No_npm_name,4.0.12,high,5388
moment.js:moment,2.24.0,high,5341
moment.js:moment,2.24.0,high,5341
underscore.js:underscore,1.8.3,high,5278
underscore.js:underscore,1.7.0,high,5267
underscore.js:underscore,1.9.0,high,5266
moment.js:moment,2.20.1,high,5211
